software	linesOfCode	details	notes	source1	sourceLink	source2
Intuit Quickbooks	10000000			Slashdot	http://developers.slashdot.org/story/12/07/31/0052230/how-intuit-manages-10-million-lines-of-code	
Windows NT 4.0 (1996)	11500000	operating system. increase in code relative to previous version: 153%		Knowing .net	http://www.knowing.net/index.php/2005/12/06/how-many-lines-of-code-in-windows/	
Android	12000000	operating system	including 3 million lines of XML, 2.8 million lines of C, 2.1 million lines of Java, and 1.75 million lines of C++	XDA Developers Forum	http://forum.xda-developers.com/wiki/Android	
Mozilla Core	12500000	code libraries used by all Mozilla apps like Firefox	12528368	Ohloh	http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary	
MySQL	12500000	database format		Ohloh	http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary	
Boeing 787, total flight software	14000000		Total flight software	NYC Aviator	http://www.nycaviation.com/2011/09/fun-facts-revealed-at-boeings-787-technical-panel/	
Android (upper estimate)	15000000					
Linux 3.1 (recent version, 2013)	15000000	increase in code relative to previous version: 288%		CNET	http://news.cnet.com/8301-1035_3-57603216-94/linux-development-by-the-numbers-big-and-getting-bigger/	
Apache Open Office	23000000	open source office productivity software		Ohloh	http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary	
F-35 Fighter	24000000		NYT says 3.5m. Wired says 24 million (http://www.wired.com/dangerroom/2012/11/marines-jsf/)	NYTImes	http://www.nytimes.com/2004/11/28/business/yourmoney/28lock.html?adxnnl=1&pagewanted=print&adxnnlx=1382805279-iJ9/V1NXb4+48FP0fFa2OA	
Microsoft Office (2001)	25000000			CNET	http://news.cnet.com/Microsoft-to-release-Mac-OS-X-Office-in-fall/2100-1040_3-250792.html	
Windows 2000 (2000)	29000000	increase in code relative to previous version: 1160%	or more	Knowing .net	http://www.knowing.net/index.php/2005/12/06/how-many-lines-of-code-in-windows/	
Microsoft Office for Mac (2006)	30000000	office productivity software for use with Mac		MSDN Blog	http://blogs.msdn.com/b/macmojo/archive/2006/11/03/it-s-all-in-the-numbers.aspx	
Symbian	37600000	mobile phone programming language		Ohloh	http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary	
Windows 7	40000000	operating system		Quora	http://www.quora.com/Windows-8/How-many-lines-of-code-is-in-Microsoft-Windows-8	
